part_id,sk,vehicle_model,variant,current_stock,reorder_level,supplier_id,lead_time_days,category,unit_cost,moq,single_source,part_name
PART-OIL-5W30,MARUTI_SWIFT#2021,MARUTI_SWIFT,2021,19,16,SUP-002,10,Consumable,3720.67,25,False,Engine Oil 5W-30 1L
PART-OIL-5W30,MARUTI_SWIFT#2023,MARUTI_SWIFT,2023,33,16,SUP-004,8,Consumable,3695.53,22,True,Engine Oil 5W-30 1L
PART-OIL-5W30,HONDA_CITY#2022,HONDA_CITY,2022,70,16,SUP-010,4,Consumable,207.32,8,True,Engine Oil 5W-30 1L
PART-OIL-5W30,HONDA_CITY#2020,HONDA_CITY,2020,45,16,SUP-004,8,Consumable,2551.51,22,True,Engine Oil 5W-30 1L
PART-OIL-5W30,HYUNDAI_I20#2023,HYUNDAI_I20,2023,41,16,SUP-009,10,Consumable,3594.3,25,False,Engine Oil 5W-30 1L
PART-OIL-5W30,HYUNDAI_I20#2021,HYUNDAI_I20,2021,73,16,SUP-004,8,Consumable,2966.87,22,True,Engine Oil 5W-30 1L
PART-OIL-5W30,TOYOTA_INNOVA#2020,TOYOTA_INNOVA,2020,70,16,SUP-003,7,Consumable,1734.24,20,False,Engine Oil 5W-30 1L
PART-OIL-5W30,TOYOTA_INNOVA#2022,TOYOTA_INNOVA,2022,59,16,SUP-004,8,Consumable,555.94,22,False,Engine Oil 5W-30 1L
PART-OIL-5W30,TATA_NEXON#2023,TATA_NEXON,2023,61,16,SUP-002,10,Consumable,4245.1,25,False,Engine Oil 5W-30 1L
PART-OIL-5W30,KIA_SELTOS#2022,KIA_SELTOS,2022,74,16,SUP-001,3,Consumable,2704.33,12,False,Engine Oil 5W-30 1L
PART-OIL-10W40,MARUTI_SWIFT#2021,MARUTI_SWIFT,2021,43,8,SUP-002,10,Consumable,1501.23,25,False,Engine Oil 10W-40 1L
PART-OIL-10W40,MARUTI_SWIFT#2023,MARUTI_SWIFT,2023,20,8,SUP-010,4,Consumable,3537.63,8,True,Engine Oil 10W-40 1L
PART-OIL-10W40,HONDA_CITY#2022,HONDA_CITY,2022,26,8,SUP-004,8,Consumable,4926.85,22,False,Engine Oil 10W-40 1L
PART-OIL-10W40,HONDA_CITY#2020,HONDA_CITY,2020,32,8,SUP-002,10,Consumable,1425.97,25,False,Engine Oil 10W-40 1L
PART-OIL-10W40,HYUNDAI_I20#2023,HYUNDAI_I20,2023,31,8,SUP-003,7,Consumable,1808.59,20,False,Engine Oil 10W-40 1L
PART-OIL-10W40,HYUNDAI_I20#2021,HYUNDAI_I20,2021,46,8,SUP-002,10,Consumable,3193.14,25,False,Engine Oil 10W-40 1L
PART-OIL-10W40,TOYOTA_INNOVA#2020,TOYOTA_INNOVA,2020,37,8,SUP-003,7,Consumable,1928.3,20,False,Engine Oil 10W-40 1L
PART-OIL-10W40,TOYOTA_INNOVA#2022,TOYOTA_INNOVA,2022,11,8,SUP-006,3,Consumable,1183.79,10,True,Engine Oil 10W-40 1L
PART-OIL-10W40,TATA_NEXON#2023,TATA_NEXON,2023,33,8,SUP-006,3,Consumable,1375.32,10,False,Engine Oil 10W-40 1L
PART-OIL-10W40,KIA_SELTOS#2022,KIA_SELTOS,2022,28,8,SUP-010,4,Consumable,1102.5,8,False,Engine Oil 10W-40 1L
PART-AIR-FLT,MARUTI_SWIFT#2021,MARUTI_SWIFT,2021,34,6,SUP-007,6,Consumable,4577.01,15,False,Air Filter
PART-AIR-FLT,MARUTI_SWIFT#2023,MARUTI_SWIFT,2023,14,6,SUP-003,7,Consumable,741.17,20,False,Air Filter
PART-AIR-FLT,HONDA_CITY#2022,HONDA_CITY,2022,19,6,SUP-010,4,Consumable,4494.22,8,False,Air Filter
PART-AIR-FLT,HONDA_CITY#2020,HONDA_CITY,2020,13,6,SUP-006,3,Consumable,4986.76,10,False,Air Filter
PART-AIR-FLT,HYUNDAI_I20#2023,HYUNDAI_I20,2023,21,6,SUP-009,10,Consumable,500.0,25,True,Air Filter
PART-AIR-FLT,HYUNDAI_I20#2021,HYUNDAI_I20,2021,10,6,SUP-002,10,Consumable,3155.86,25,False,Air Filter
PART-AIR-FLT,TOYOTA_INNOVA#2020,TOYOTA_INNOVA,2020,8,6,SUP-010,4,Consumable,1954.6,8,False,Air Filter
PART-AIR-FLT,TOYOTA_INNOVA#2022,TOYOTA_INNOVA,2022,14,6,SUP-009,10,Consumable,4856.84,25,True,Air Filter
PART-AIR-FLT,TATA_NEXON#2023,TATA_NEXON,2023,27,6,SUP-002,10,Consumable,4429.7,25,False,Air Filter
PART-AIR-FLT,KIA_SELTOS#2022,KIA_SELTOS,2022,9,6,SUP-006,3,Consumable,1502.83,10,False,Air Filter
PART-OIL-FLT,MARUTI_SWIFT#2021,MARUTI_SWIFT,2021,14,14,SUP-008,5,Consumable,4771.39,18,False,Oil Filter
PART-OIL-FLT,MARUTI_SWIFT#2023,MARUTI_SWIFT,2023,36,14,SUP-009,10,Consumable,2563.02,25,True,Oil Filter
PART-OIL-FLT,HONDA_CITY#2022,HONDA_CITY,2022,78,14,SUP-005,14,Consumable,3064.4,30,False,Oil Filter
PART-OIL-FLT,HONDA_CITY#2020,HONDA_CITY,2020,34,14,SUP-006,3,Consumable,2719.93,10,True,Oil Filter
PART-OIL-FLT,HYUNDAI_I20#2023,HYUNDAI_I20,2023,55,14,SUP-010,4,Consumable,2468.6,8,True,Oil Filter
PART-OIL-FLT,HYUNDAI_I20#2021,HYUNDAI_I20,2021,53,14,SUP-006,3,Consumable,1235.29,10,False,Oil Filter
PART-OIL-FLT,TOYOTA_INNOVA#2020,TOYOTA_INNOVA,2020,24,14,SUP-010,4,Consumable,473.98,8,False,Oil Filter
PART-OIL-FLT,TOYOTA_INNOVA#2022,TOYOTA_INNOVA,2022,82,14,SUP-002,10,Consumable,3840.88,25,False,Oil Filter
PART-OIL-FLT,TATA_NEXON#2023,TATA_NEXON,2023,84,14,SUP-008,5,Consumable,867.38,18,False,Oil Filter
PART-OIL-FLT,KIA_SELTOS#2022,KIA_SELTOS,2022,83,14,SUP-004,8,Consumable,3788.56,22,False,Oil Filter
