part_id,vehicle_model,variant,service_date,qty_used,service_type,week_number,month,year
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-05,2,Campaign,1,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-07,3,Periodic,1,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-11,1,Periodic,2,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-18,2,Periodic,3,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-20,4,Campaign,3,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-23,1,Campaign,4,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-01-30,4,Periodic,5,1,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-02-02,2,Recall,5,2,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-02-15,9,Repair,7,2,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-02-19,2,Repair,7,2,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-02-24,5,Campaign,8,2,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-02-28,1,Recall,9,2,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-01,3,Periodic,9,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-03,4,Periodic,9,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-07,3,Recall,10,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-09,3,Campaign,10,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-10,3,Periodic,10,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-15,4,Recall,11,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-18,1,Periodic,11,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-03-19,5,Repair,11,3,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-01,1,Recall,13,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-02,5,Recall,13,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-03,4,Recall,14,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-11,1,Campaign,15,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-14,5,Recall,15,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-15,4,Recall,15,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-16,2,Periodic,15,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-19,2,Recall,16,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-04-21,3,Campaign,16,4,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-02,2,Periodic,18,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-03,3,Repair,18,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-07,1,Periodic,18,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-11,3,Periodic,19,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-12,4,Repair,19,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-14,5,Recall,19,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-17,10,Periodic,20,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-23,2,Repair,21,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-28,2,Campaign,21,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-05-29,2,Recall,22,5,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-06-01,5,Recall,22,6,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-06-07,5,Recall,23,6,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-06-11,3,Recall,23,6,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-06-12,1,Campaign,24,6,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-06-21,4,Repair,25,6,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-06-22,8,Periodic,25,6,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-05,4,Repair,27,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-08,11,Campaign,27,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-12,6,Periodic,28,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-13,1,Recall,28,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-15,4,Repair,28,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-18,4,Periodic,29,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-26,5,Campaign,30,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-07-27,1,Repair,30,7,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-08-02,1,Periodic,31,8,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-08-13,6,Periodic,32,8,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-08-17,1,Campaign,33,8,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-08-18,1,Recall,33,8,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-08-30,1,Repair,35,8,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-08-31,1,Recall,35,8,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-03,1,Repair,35,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-08,5,Periodic,36,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-11,6,Periodic,37,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-14,5,Repair,37,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-15,1,Periodic,37,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-17,1,Campaign,37,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-18,2,Periodic,38,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-20,2,Periodic,38,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-23,5,Periodic,38,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-27,7,Periodic,39,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-28,5,Repair,39,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-09-30,1,Repair,39,9,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-01,7,Repair,39,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-02,6,Recall,40,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-08,3,Campaign,40,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-09,3,Campaign,41,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-10,3,Campaign,41,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-13,1,Recall,41,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-16,4,Recall,42,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-17,4,Periodic,42,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-19,1,Periodic,42,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-20,1,Campaign,42,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-10-27,4,Periodic,43,10,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-01,2,Recall,44,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-09,10,Periodic,45,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-12,3,Periodic,45,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-13,1,Periodic,46,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-16,1,Periodic,46,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-20,4,Repair,47,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-25,4,Repair,47,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-29,3,Recall,48,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-11-30,5,Periodic,48,11,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-12-03,2,Repair,48,12,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-12-11,4,Repair,50,12,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-12-12,5,Repair,50,12,2023
PART-OIL-5W30,MARUTI_SWIFT,2021,2023-12-16,3,Periodic,50,12,2023
