part_id,part_name,vehicle_model,variant,category,current_stock,reorder_level,supplier_id,supplier_name,lead_time_days,moq,unit_cost,single_source,sk
PART-OIL-5W30,Engine Oil 5W-30 1L,MARUTI_SWIFT,2021,Consumable,19,16,SUP-002,Honda OEM Supplies,10,25,3720.67,False,MARUTI_SWIFT#2021
PART-OIL-5W30,Engine Oil 5W-30 1L,MARUTI_SWIFT,2023,Consumable,33,16,SUP-004,Hyundai OEM,8,22,3695.53,True,MARUTI_SWIFT#2023
PART-OIL-5W30,Engine Oil 5W-30 1L,HONDA_CITY,2022,Consumable,70,16,SUP-010,Universal Auto,4,8,207.32,True,HONDA_CITY#2022
PART-OIL-5W30,Engine Oil 5W-30 1L,HONDA_CITY,2020,Consumable,45,16,SUP-004,Hyundai OEM,8,22,2551.51,True,HONDA_CITY#2020
PART-OIL-5W30,Engine Oil 5W-30 1L,HYUNDAI_I20,2023,Consumable,41,16,SUP-009,Toyota OEM,10,25,3594.3,False,HYUNDAI_I20#2023
PART-OIL-5W30,Engine Oil 5W-30 1L,HYUNDAI_I20,2021,Consumable,73,16,SUP-004,Hyundai OEM,8,22,2966.87,True,HYUNDAI_I20#2021
PART-OIL-5W30,Engine Oil 5W-30 1L,TOYOTA_INNOVA,2020,Consumable,70,16,SUP-003,Maruti Suzuki OEM,7,20,1734.24,False,TOYOTA_INNOVA#2020
PART-OIL-5W30,Engine Oil 5W-30 1L,TOYOTA_INNOVA,2022,Consumable,59,16,SUP-004,Hyundai OEM,8,22,555.94,False,TOYOTA_INNOVA#2022
PART-OIL-5W30,Engine Oil 5W-30 1L,TATA_NEXON,2023,Consumable,61,16,SUP-002,Honda OEM Supplies,10,25,4245.1,False,TATA_NEXON#2023
PART-OIL-5W30,Engine Oil 5W-30 1L,KIA_SELTOS,2022,Consumable,74,16,SUP-001,Castrol India,3,12,2704.33,False,KIA_SELTOS#2022
PART-OIL-10W40,Engine Oil 10W-40 1L,MARUTI_SWIFT,2021,Consumable,43,8,SUP-002,Honda OEM Supplies,10,25,1501.23,False,MARUTI_SWIFT#2021
PART-OIL-10W40,Engine Oil 10W-40 1L,MARUTI_SWIFT,2023,Consumable,20,8,SUP-010,Universal Auto,4,8,3537.63,True,MARUTI_SWIFT#2023
PART-OIL-10W40,Engine Oil 10W-40 1L,HONDA_CITY,2022,Consumable,26,8,SUP-004,Hyundai OEM,8,22,4926.85,False,HONDA_CITY#2022
PART-OIL-10W40,Engine Oil 10W-40 1L,HONDA_CITY,2020,Consumable,32,8,SUP-002,Honda OEM Supplies,10,25,1425.97,False,HONDA_CITY#2020
PART-OIL-10W40,Engine Oil 10W-40 1L,HYUNDAI_I20,2023,Consumable,31,8,SUP-003,Maruti Suzuki OEM,7,20,1808.59,False,HYUNDAI_I20#2023
PART-OIL-10W40,Engine Oil 10W-40 1L,HYUNDAI_I20,2021,Consumable,46,8,SUP-002,Honda OEM Supplies,10,25,3193.14,False,HYUNDAI_I20#2021
PART-OIL-10W40,Engine Oil 10W-40 1L,TOYOTA_INNOVA,2020,Consumable,37,8,SUP-003,Maruti Suzuki OEM,7,20,1928.3,False,TOYOTA_INNOVA#2020
PART-OIL-10W40,Engine Oil 10W-40 1L,TOYOTA_INNOVA,2022,Consumable,11,8,SUP-006,Amaron Batteries,3,10,1183.79,True,TOYOTA_INNOVA#2022
PART-OIL-10W40,Engine Oil 10W-40 1L,TATA_NEXON,2023,Consumable,33,8,SUP-006,Amaron Batteries,3,10,1375.32,False,TATA_NEXON#2023
PART-OIL-10W40,Engine Oil 10W-40 1L,KIA_SELTOS,2022,Consumable,28,8,SUP-010,Universal Auto,4,8,1102.5,False,KIA_SELTOS#2022
